Date;Jour;0-1h;1-2h;2-3h;3-4h;4-5h;5-6h;6-7h;7-8h;8-9h;9-10h;10-11h;11-12h;12-13h;13-14h;14-15h;15-16h;16-17h;17-18h;18-19h;19-20h;20-21h;21-22h;22-23h;23-24h;Total
23/06/2022;5;260;154;108;58;63;185;316;496;736;675;669;691;723;710;739;774;914;956;814;845;678;484;386;354;12788
24/06/2022;6;290;158;139;78;79;203;323;552;722;677;761;753;690;769;830;826;876;935;792;799;581;425;349;359;12966
25/06/2022;7;327;266;163;134;97;119;197;257;398;496;677;620;648;642;599;600;524;608;569;580;556;424;337;378;10216
26/06/2022;1;334;252;188;144;122;99;149;159;190;287;443;492;552;530;482;502;437;505;503;533;557;428;377;301;8566
27/06/2022;2;221;131;76;68;61;160;267;502;750;628;624;640;692;744;788;743;852;932;938;856;580;412;486;613;12764
28/06/2022;3;454;281;191;167;71;147;326;487;765;684;700;675;771;750;752;747;925;888;913;787;670;528;776;754;14209
29/06/2022;4;558;358;236;159;114;148;311;448;668;616;651;650;760;738;750;717;826;891;899;805;697;723;777;589;14089
30/06/2022;5;438;308;252;169;135;143;296;482;726;674;645;678;712;665;676;758;874;930;855;859;638;762;644;603;13922
01/07/2022;6;445;323;230;162;140;185;331;480;749;727;675;773;760;780;787;773;852;901;866;832;594;439;390;328;13522
02/07/2022;7;341;247;187;115;93;133;195;269;399;423;548;588;594;643;586;620;562;552;610;631;555;415;356;411;10073
03/07/2022;1;407;307;231;150;111;125;164;153;181;312;426;465;605;497;176;505;424;518;495;838;907;510;348;320;9175
04/07/2022;2;224;135;83;55;66;136;284;466;642;572;650;617;587;629;726;709;536;907;895;809;578;424;266;272;11268
05/07/2022;3;204;127;101;55;62;156;319;494;709;680;699;702;751;668;749;749;876;907;908;858;648;454;324;279;12479
06/07/2022;4;237;153;100;68;66;174;295;443;630;621;820;770;663;728;782;738;762;852;906;803;575;460;334;274;12254
07/07/2022;5;247;125;101;51;62;179;317;508;685;654;725;693;680;706;743;743;812;829;791;843;603;386;331;292;12106
08/07/2022;6;230;199;103;64;83;182;290;455;649;660;687;784;749;689;771;692;838;858;863;777;592;419;331;313;12278
09/07/2022;7;345;219;163;106;88;114;206;237;362;432;528;588;559;547;560;487;553;550;540;590;527;365;369;365;9400
11/07/2022;2;225;139;61;52;67;118;276;403;605;229;607;619;677;668;676;722;810;799;776;759;533;391;256;257;10725
12/07/2022;3;225;121;97;55;59;154;297;463;665;665;696;688;730;674;771;739;875;815;830;755;616;404;314;302;12010
13/07/2022;4;223;148;89;52;56;171;272;455;648;687;686;713;693;764;720;754;750;750;814;706;578;410;355;331;11825
14/07/2022;5;259;189;154;88;85;99;173;183;202;280;316;390;431;402;394;395;436;420;468;476;395;381;335;13;6964
15/07/2022;6;306;238;153;90;77;162;278;418;578;633;616;655;633;679;697;656;676;700;635;656;445;337;295;263;10876
16/07/2022;7;246;152;135;101;84;106;180;245;279;388;431;494;501;510;474;509;471;496;494;548;463;345;275;325;8252
17/07/2022;1;279;210;183;109;99;98;144;166;158;255;366;388;449;420;403;407;408;423;469;544;452;360;369;290;7449
18/07/2022;2;274;171;80;68;67;150;278;441;530;569;568;648;711;729;746;848;710;181;798;738;516;360;264;237;10682
19/07/2022;3;197;109;82;58;59;133;296;417;321;619;606;616;677;720;721;656;698;760;828;698;540;376;279;296;10762
20/07/2022;4;242;154;102;53;52;146;259;425;582;596;571;607;656;631;693;634;794;754;745;727;553;408;272;227;10883
21/07/2022;5;204;142;84;35;66;132;291;422;587;671;598;607;705;684;696;642;724;752;802;790;571;415;264;214;11098
22/07/2022;6;193;125;94;60;63;144;267;450;609;626;649;687;715;687;751;744;753;805;674;669;525;351;329;294;11264
24/07/2022;1;308;249;163;114;93;96;138;141;174;261;373;457;499;429;394;445;351;405;500;420;426;441;379;320;7576
25/07/2022;2;261;164;71;67;70;127;257;483;657;648;683;664;585;662;666;618;763;758;809;738;500;372;289;212;11124
26/07/2022;3;195;111;67;43;61;148;296;413;577;662;613;649;642;694;688;652;753;827;889;397;561;331;275;264;10808
27/07/2022;4;205;113;89;63;62;36;257;405;567;578;619;662;623;620;725;678;750;779;823;744;522;360;304;263;10847
28/07/2022;5;191;123;90;63;52;130;296;434;609;608;577;607;624;604;669;649;795;804;833;744;535;375;296;272;10980
29/07/2022;6;229;129;105;66;61;125;267;406;632;616;581;584;627;619;657;657;732;761;698;645;494;349;292;291;10623
30/07/2022;7;257;172;144;93;75;101;147;221;279;377;487;453;529;462;523;424;476;514;526;551;465;352;312;315;8255
